,postcodeDistrict,retailNum
0,AB10,12
1,AB11,10
2,AB12,12
3,AB14,3
4,AB15,13
5,AB16,4
6,AB21,10
7,AB22,5
8,AB23,2
9,AB24,14
10,AB25,10
11,AB30,2
12,AB31,6
13,AB32,5
14,AB33,1
15,AB34,1
16,AB35,2
17,AB36,1
18,AB38,2
19,AB39,6
20,AB41,6
21,AB42,11
22,AB43,11
23,AB44,1
24,AB45,6
25,AB51,13
26,AB52,1
27,AB53,4
28,AB54,4
29,AB55,5
30,AB56,9
31,AL1,12
32,AL10,7
33,AL2,9
34,AL3,6
35,AL4,5
36,AL5,8
37,AL6,2
38,AL7,7
39,AL8,5
40,AL9,2
41,B1,5
42,B10,3
43,B11,3
44,B12,1
45,B13,4
46,B14,12
47,B15,5
48,B16,1
49,B17,6
50,B18,4
51,B19,3
52,B2,3
53,B21,4
54,B23,10
55,B24,2
56,B25,5
57,B26,9
58,B27,7
59,B28,4
60,B29,10
61,B3,5
62,B30,8
63,B31,10
64,B32,7
65,B33,3
66,B34,4
67,B35,1
68,B36,10
69,B37,5
70,B38,3
71,B4,9
72,B42,7
73,B43,6
74,B44,9
75,B45,6
76,B46,3
77,B47,2
78,B48,2
79,B49,3
80,B5,7
81,B6,1
82,B60,5
83,B61,11
84,B62,6
85,B63,10
86,B64,3
87,B65,7
88,B66,6
89,B68,3
90,B69,7
91,B7,1
92,B70,8
93,B71,3
94,B72,7
95,B73,6
96,B74,7
97,B75,6
98,B76,3
99,B77,15
100,B78,13
101,B79,10
102,B8,2
103,B80,2
104,B9,4
105,B90,16
106,B91,7
107,B92,6
108,B93,5
109,B94,2
110,B95,1
111,B96,1
112,B97,7
113,B98,9
114,BA1,19
115,BA10,2
116,BA11,15
117,BA12,11
118,BA13,5
119,BA14,17
120,BA15,3
121,BA16,8
122,BA2,23
123,BA20,7
124,BA21,11
125,BA22,2
126,BA3,9
127,BA4,6
128,BA5,7
129,BA6,4
130,BA7,1
131,BA8,1
132,BA9,3
133,BB1,15
134,BB10,7
135,BB11,10
136,BB12,5
137,BB18,5
138,BB2,17
139,BB3,4
140,BB4,10
141,BB5,13
142,BB6,4
143,BB7,9
144,BB8,9
145,BB9,9
146,BD1,7
147,BD10,6
148,BD11,2
149,BD12,2
150,BD129,1
151,BD13,6
152,BD15,4
153,BD16,6
154,BD17,5
155,BD18,6
156,BD19,5
157,BD2,5
158,BD20,6
159,BD21,9
160,BD22,4
161,BD23,7
162,BD24,3
163,BD3,6
164,BD4,6
165,BD5,4
166,BD6,2
167,BD7,4
168,BD8,3
169,BD9,5
170,BH1,8
171,BH10,5
172,BH11,4
173,BH12,11
174,BH13,1
175,BH14,13
176,BH15,12
177,BH16,6
178,BH17,10
179,BH18,2
180,BH19,5
181,BH2,3
182,BH20,6
183,BH21,15
184,BH22,9
185,BH23,15
186,BH24,9
187,BH25,8
188,BH31,4
189,BH4,3
190,BH5,1
191,BH6,5
192,BH7,4
193,BH8,13
194,BH9,9
195,BL0,5
196,BL1,8
197,BL2,11
198,BL3,14
199,BL4,10
200,BL5,8
201,BL6,11
202,BL7,2
203,BL8,11
204,BL9,16
205,BN1,23
206,BN10,5
207,BN11,11
208,BN12,9
209,BN13,6
210,BN14,10
211,BN15,5
212,BN16,8
213,BN17,8
214,BN18,3
215,BN2,19
216,BN20,4
217,BN21,12
218,BN22,11
219,BN23,8
220,BN24,2
221,BN25,4
222,BN26,5
223,BN27,8
224,BN3,24
225,BN41,7
226,BN42,1
227,BN43,9
228,BN44,2
229,BN45,2
230,BN5,2
231,BN6,3
232,BN7,5
233,BN8,1
234,BN9,5
235,BR1,14
236,BR2,7
237,BR3,12
238,BR4,6
239,BR5,11
240,BR6,12
241,BR7,4
242,BR8,5
243,BS1,14
244,BS10,11
245,BS11,8
246,BS13,10
247,BS14,6
248,BS15,13
249,BS16,22
250,BS2,8
251,BS20,10
252,BS21,6
253,BS22,12
254,BS23,10
255,BS24,7
256,BS25,2
257,BS26,2
258,BS27,2
259,BS29,1
260,BS3,13
261,BS30,8
262,BS31,9
263,BS32,6
264,BS34,14
265,BS35,7
266,BS36,3
267,BS37,15
268,BS39,6
269,BS4,11
270,BS40,3
271,BS41,2
272,BS48,5
273,BS49,3
274,BS5,14
275,BS6,2
276,BS7,11
277,BS8,10
278,BS9,11
279,BT1,8
280,BT10,5
281,BT11,13
282,BT12,7
283,BT13,4
284,BT14,9
285,BT15,13
286,BT16,6
287,BT17,6
288,BT18,4
289,BT19,9
290,BT2,2
291,BT20,8
292,BT21,3
293,BT22,6
294,BT23,14
295,BT24,4
296,BT25,2
297,BT26,2
298,BT27,10
299,BT28,10
300,BT29,4
301,BT3,4
302,BT30,11
303,BT31,1
304,BT32,12
305,BT33,5
306,BT34,12
307,BT35,16
308,BT36,14
309,BT37,11
310,BT38,11
311,BT39,11
312,BT4,9
313,BT40,11
314,BT41,11
315,BT42,11
316,BT43,10
317,BT44,5
318,BT45,15
319,BT46,2
320,BT47,17
321,BT48,16
322,BT49,8
323,BT5,10
324,BT51,7
325,BT52,11
326,BT53,6
327,BT54,5
328,BT55,3
329,BT56,4
330,BT57,2
331,BT6,9
332,BT60,7
333,BT61,6
334,BT62,11
335,BT63,4
336,BT64,5
337,BT66,6
338,BT67,5
339,BT69,1
340,BT7,8
341,BT70,7
342,BT71,14
343,BT74,12
344,BT75,2
345,BT77,1
346,BT78,11
347,BT79,9
348,BT8,10
349,BT80,10
350,BT81,2
351,BT82,10
352,BT9,8
353,BT92,6
354,BT93,4
355,BT94,7
356,Belfast,1
357,CA1,8
358,CA10,2
359,CA11,9
360,CA12,5
361,CA13,4
362,CA14,15
363,CA15,5
364,CA16,2
365,CA17,3
366,CA19,1
367,CA2,14
368,CA20,2
369,CA22,4
370,CA25,1
371,CA26,1
372,CA28,10
373,CA3,10
374,CA4,5
375,CA5,2
376,CA6,2
377,CA7,7
378,CA8,4
379,CA9,2
380,CB1,19
381,CB10,3
382,CB11,2
383,CB2,15
384,CB21,3
385,CB22,5
386,CB23,6
387,CB24,6
388,CB25,2
389,CB3,4
390,CB4,12
391,CB5,7
392,CB6,6
393,CB7,13
394,CB8,11
395,CB9,7
396,CF10,16
397,CF11,12
398,CF14,25
399,CF15,6
400,CF23,12
401,CF24,17
402,CF3,8
403,CF31,15
404,CF32,5
405,CF33,2
406,CF34,5
407,CF35,3
408,CF36,5
409,CF37,16
410,CF38,5
411,CF39,9
412,CF40,4
413,CF41,1
414,CF42,5
415,CF43,5
416,CF44,9
417,CF45,2
418,CF46,4
419,CF47,5
420,CF48,6
421,CF5,20
422,CF61,2
423,CF62,8
424,CF63,6
425,CF64,9
426,CF71,3
427,CF72,12
428,CF81,2
429,CF82,5
430,CF83,15
431,CH1,20
432,CH2,10
433,CH3,9
434,CH4,14
435,CH41,13
436,CH42,10
437,CH43,5
438,CH44,6
439,CH45,7
440,CH46,8
441,CH47,3
442,CH48,3
443,CH49,6
444,CH5,16
445,CH6,10
446,CH60,4
447,CH61,4
448,CH62,12
449,CH63,4
450,CH64,4
451,CH65,10
452,CH66,7
453,CH7,13
454,CH8,6
455,CM0,3
456,CM1,23
457,CM11,2
458,CM12,6
459,CM13,6
460,CM14,7
461,CM15,8
462,CM16,4
463,CM17,4
464,CM18,7
465,CM19,1
466,CM2,20
467,CM20,11
468,CM22,2
469,CM23,12
470,CM24,4
471,CM3,14
472,CM4,4
473,CM5,2
474,CM6,5
475,CM7,11
476,CM77,9
477,CM8,10
478,CM9,10
479,CO1,8
480,CO10,16
481,CO11,3
482,CO12,7
483,CO13,4
484,CO14,4
485,CO15,16
486,CO16,6
487,CO2,10
488,CO3,10
489,CO4,18
490,CO5,9
491,CO6,6
492,CO7,12
493,CO9,6
494,CR0,47
495,CR2,9
496,CR23,1
497,CR3,9
498,CR4,8
499,CR5,5
500,CR6,1
501,CR7,9
502,CR8,3
503,CR9,3
504,CT1,14
505,CT10,11
506,CT11,9
507,CT12,7
508,CT13,3
509,CT14,7
510,CT15,2
511,CT16,10
512,CT17,5
513,CT18,2
514,CT19,7
515,CT2,5
516,CT20,6
517,CT21,5
518,CT3,2
519,CT5,11
520,CT6,11
521,CT7,3
522,CT8,1
523,CT9,8
524,CV1,11
525,CV10,7
526,CV11,14
527,CV12,6
528,CV13,2
529,CV2,11
530,CV21,12
531,CV22,8
532,CV23,4
533,CV3,16
534,CV31,7
535,CV32,9
536,CV33,1
537,CV34,15
538,CV35,7
539,CV36,2
540,CV37,16
541,CV4,10
542,CV47,5
543,CV5,5
544,CV6,12
545,CV7,11
546,CV8,7
547,CV9,6
548,CW1,19
549,CW10,5
550,CW11,7
551,CW111,1
552,CW12,9
553,CW122,1
554,CW2,14
555,CW3,1
556,CW4,5
557,CW5,6
558,CW6,4
559,CW7,9
560,CW8,9
561,CW9,16
562,DA1,18
563,DA10,3
564,DA11,14
565,DA12,7
566,DA13,3
567,DA14,6
568,DA15,7
569,DA16,9
570,DA17,5
571,DA2,2
572,DA3,5
573,DA4,1
574,DA5,2
575,DA6,6
576,DA7,5
577,DA8,7
578,DA9,4
579,DD1,10
580,DD10,8
581,DD11,7
582,DD2,18
583,DD3,8
584,DD4,10
585,DD5,9
586,DD6,6
587,DD7,3
588,DD8,8
589,DD9,6
590,DE1,7
591,DE11,12
592,DE12,5
593,DE13,10
594,DE14,13
595,DE15,6
596,DE21,21
597,DE22,19
598,DE23,10
599,DE24,19
600,DE3,3
601,DE4,8
602,DE45,7
603,DE5,7
604,DE55,17
605,DE56,10
606,DE6,5
607,DE65,8
608,DE7,14
609,DE72,3
610,DE73,5
611,DE74,8
612,DE75,3
613,DG1,10
614,DG10,2
615,DG11,3
616,DG12,5
617,DG13,1
618,DG16,4
619,DG2,5
620,DG3,2
621,DG4,1
622,DG5,2
623,DG6,2
624,DG7,4
625,DG8,6
626,DG9,7
627,DH1,23
628,DH2,3
629,DH3,9
630,DH4,8
631,DH5,3
632,DH6,10
633,DH7,12
634,DH8,9
635,DH9,8
636,DL1,20
637,DL10,5
638,DL12,6
639,DL13,6
640,DL14,13
641,DL15,7
642,DL16,6
643,DL17,5
644,DL2,6
645,DL3,8
646,DL4,3
647,DL5,10
648,DL6,5
649,DL61,1
650,DL7,5
651,DL8,6
652,DL9,8
653,DN1,5
654,DN10,2
655,DN11,8
656,DN12,5
657,DN14,13
658,DN15,14
659,DN16,8
660,DN17,7
661,DN18,7
662,DN19,2
663,DN2,11
664,DN20,6
665,DN21,14
666,DN22,11
667,DN3,10
668,DN31,9
669,DN32,6
670,DN33,6
671,DN34,6
672,DN35,11
673,DN36,9
674,DN37,6
675,DN39,1
676,DN4,14
677,DN40,7
678,DN41,2
679,DN5,11
680,DN59,1
681,DN6,7
682,DN7,3
683,DN8,6
684,DN9,4
685,DT1,10
686,DT10,3
687,DT11,11
688,DT2,5
689,DT3,12
690,DT4,12
691,DT5,6
692,DT6,10
693,DT7,2
694,DT8,3
695,DT9,7
696,DY1,9
697,DY10,9
698,DY11,10
699,DY12,3
700,DY13,7
701,DY14,1
702,DY2,6
703,DY3,5
704,DY4,10
705,DY5,12
706,DY6,8
707,DY7,1
708,DY8,19
709,DY9,7
710,E1,30
711,E10,9
712,E11,8
713,E12,2
714,E13,7
715,E14,23
716,E15,9
717,E16,7
718,E17,19
719,E18,4
720,E2,12
721,E20,3
722,E3,8
723,E4,14
724,E5,6
725,E6,14
726,E7,5
727,E8,14
728,E9,6
729,EC1,24
730,EC2,10
731,EC3,8
732,EC4,11
733,EH1,5
734,EH10,6
735,EH11,12
736,EH12,16
737,EH13,4
738,EH14,19
739,EH15,8
740,EH16,9
741,EH17,8
742,EH19,2
743,EH2,5
744,EH20,7
745,EH21,7
746,EH22,12
747,EH23,1
748,EH25,1
749,EH26,2
750,EH28,2
751,EH29,1
752,EH3,13
753,EH30,5
754,EH31,1
755,EH32,7
756,EH33,4
757,EH34,1
758,EH35,1
759,EH39,3
760,EH4,13
761,EH40,1
762,EH41,5
763,EH42,4
764,EH44,1
765,EH45,4
766,EH46,1
767,EH47,8
768,EH48,12
769,EH49,4
770,EH5,6
771,EH51,6
772,EH52,8
773,EH53,4
774,EH54,25
775,EH55,2
776,EH6,13
777,EH7,10
778,EH8,8
779,EH9,5
780,EN1,6
781,EN10,2
782,EN11,8
783,EN2,10
784,EN3,10
785,EN4,6
786,EN5,7
787,EN6,8
788,EN7,2
789,EN8,12
790,EN9,4
791,EX1,8
792,EX10,6
793,EX11,2
794,EX12,2
795,EX13,4
796,EX14,9
797,EX15,4
798,EX16,8
799,EX17,6
800,EX19,1
801,EX2,17
802,EX20,10
803,EX22,4
804,EX23,6
805,EX3,1
806,EX31,14
807,EX32,7
808,EX33,4
809,EX34,5
810,EX36,2
811,EX38,4
812,EX39,10
813,EX4,23
814,EX5,4
815,EX6,2
816,EX7,2
817,EX8,13
818,EX9,3
819,FK1,12
820,FK10,15
821,FK11,1
822,FK12,2
823,FK13,1
824,FK14,1
825,FK15,3
826,FK16,1
827,FK17,2
828,FK2,9
829,FK21,1
830,FK3,6
831,FK4,6
832,FK5,7
833,FK6,5
834,FK7,13
835,FK8,8
836,FK9,6
837,FY1,13
838,FY2,6
839,FY3,14
840,FY4,14
841,FY5,14
842,FY6,10
843,FY7,8
844,FY8,14
845,G1,13
846,G11,8
847,G12,10
848,G13,8
849,G14,4
850,G15,4
851,G2,11
852,G20,6
853,G21,8
854,G22,2
855,G23,2
856,G3,9
857,G31,7
858,G32,8
859,G33,8
860,G34,5
861,G4,6
862,G40,1
863,G41,7
864,G42,11
865,G43,5
866,G44,6
867,G45,1
868,G46,5
869,G5,8
870,G51,9
871,G52,8
872,G53,9
873,G60,1
874,G61,12
875,G62,6
876,G63,3
877,G64,9
878,G65,3
879,G66,14
880,G67,7
881,G68,5
882,G69,10
883,G71,11
884,G72,15
885,G73,8
886,G74,15
887,G75,6
888,G76,4
889,G77,10
890,G78,7
891,G81,17
892,G82,11
893,G83,8
894,G84,7
895,GL1,16
896,GL10,3
897,GL11,9
898,GL12,4
899,GL13,1
900,GL14,3
901,GL15,5
902,GL16,4
903,GL17,2
904,GL18,3
905,GL19,2
906,GL2,13
907,GL20,8
908,GL3,9
909,GL4,14
910,GL5,9
911,GL50,11
912,GL51,17
913,GL52,11
914,GL53,7
915,GL54,10
916,GL55,2
917,GL56,5
918,GL6,4
919,GL7,18
920,GL8,2
921,GU1,11
922,GU10,8
923,GU11,5
924,GU12,6
925,GU14,14
926,GU15,7
927,GU16,6
928,GU17,4
929,GU18,2
930,GU19,3
931,GU2,8
932,GU21,14
933,GU22,10
934,GU23,5
935,GU24,5
936,GU25,2
937,GU26,3
938,GU27,4
939,GU28,1
940,GU29,4
941,GU3,1
942,GU30,4
943,GU31,4
944,GU32,6
945,GU33,1
946,GU34,11
947,GU35,5
948,GU4,1
949,GU46,5
950,GU47,6
951,GU5,2
952,GU51,11
953,GU52,4
954,GU6,4
955,GU7,4
956,GU8,3
957,GU9,8
958,GY1,6
959,GY2,4
960,GY3,1
961,GY4,2
962,GY5,2
963,GY6,1
964,GY7,2
965,GY8,1
966,HA0,6
967,HA1,10
968,HA2,8
969,HA3,9
970,HA4,12
971,HA5,14
972,HA6,5
973,HA7,3
974,HA8,10
975,HA9,15
976,HD1,12
977,HD2,3
978,HD3,8
979,HD4,4
980,HD5,8
981,HD6,5
982,HD7,4
983,HD8,7
984,HD9,13
985,HG1,11
986,HG2,13
987,HG3,5
988,HG4,8
989,HG5,7
990,HP1,6
991,HP10,4
992,HP11,11
993,HP12,5
994,HP13,7
995,HP14,2
996,HP15,7
997,HP16,3
998,HP17,3
999,HP18,1
1000,HP19,7
1001,HP2,12
1002,HP20,14
1003,HP21,6
1004,HP22,3
1005,HP23,5
1006,HP27,6
1007,HP3,6
1008,HP4,6
1009,HP5,3
1010,HP6,3
1011,HP7,3
1012,HP8,1
1013,HP9,6
1014,HR1,7
1015,HR2,5
1016,HR3,3
1017,HR4,10
1018,HR5,2
1019,HR6,4
1020,HR7,2
1021,HR74,1
1022,HR8,6
1023,HR9,9
1024,HS1,4
1025,HS6,1
1026,HS7,1
1027,HS8,1
1028,HS9,1
1029,HU1,6
1030,HU10,12
1031,HU11,3
1032,HU12,3
1033,HU13,4
1034,HU14,2
1035,HU15,5
1036,HU16,5
1037,HU17,12
1038,HU18,4
1039,HU19,3
1040,HU2,2
1041,HU3,16
1042,HU4,4
1043,HU5,13
1044,HU6,9
1045,HU7,13
1046,HU8,5
1047,HU9,14
1048,HX1,11
1049,HX2,4
1050,HX20,1
1051,HX3,6
1052,HX4,2
1053,HX5,2
1054,HX6,3
1055,HX7,3
1056,IG1,9
1057,IG10,9
1058,IG11,11
1059,IG2,7
1060,IG3,3
1061,IG5,1
1062,IG6,6
1063,IG7,1
1064,IG8,5
1065,IG9,2
1066,IM1,7
1067,IM2,6
1068,IM3,2
1069,IM4,3
1070,IM5,2
1071,IM7,1
1072,IM8,4
1073,IM9,7
1074,IP1,22
1075,IP11,15
1076,IP12,7
1077,IP13,4
1078,IP14,9
1079,IP15,3
1080,IP16,1
1081,IP17,3
1082,IP18,3
1083,IP19,2
1084,IP2,6
1085,IP20,2
1086,IP21,1
1087,IP22,4
1088,IP23,2
1089,IP24,11
1090,IP25,3
1091,IP26,1
1092,IP27,4
1093,IP28,4
1094,IP3,16
1095,IP30,2
1096,IP31,5
1097,IP32,6
1098,IP33,11
1099,IP4,10
1100,IP5,4
1101,IP6,3
1102,IP7,3
1103,IP8,4
1104,IP9,2
1105,IV1,3
1106,IV10,2
1107,IV12,6
1108,IV14,1
1109,IV15,4
1110,IV16,2
1111,IV17,3
1112,IV18,2
1113,IV19,4
1114,IV2,21
1115,IV20,1
1116,IV21,1
1117,IV24,1
1118,IV25,2
1119,IV26,1
1120,IV27,4
1121,IV28,1
1122,IV3,11
1123,IV30,16
1124,IV31,2
1125,IV32,3
1126,IV36,6
1127,IV4,4
1128,IV40,2
1129,IV49,1
1130,IV51,2
1131,IV54,1
1132,IV6,1
1133,IV63,1
1134,IV7,3
1135,IV8,1
1136,IV9,1
1137,JE2,22
1138,JE3,16
1139,JE4,2
1140,KA1,14
1141,KA10,5
1142,KA11,2
1143,KA12,10
1144,KA13,4
1145,KA15,1
1146,KA17,1
1147,KA18,7
1148,KA19,2
1149,KA2,1
1150,KA20,2
1151,KA21,7
1152,KA22,2
1153,KA23,2
1154,KA24,2
1155,KA25,1
1156,KA26,4
1157,KA27,3
1158,KA3,8
1159,KA30,6
1160,KA4,2
1161,KA5,2
1162,KA6,3
1163,KA7,12
1164,KA8,12
1165,KA9,6
1166,KT1,8
1167,KT10,5
1168,KT11,4
1169,KT12,9
1170,KT13,7
1171,KT14,4
1172,KT15,8
1173,KT16,4
1174,KT17,10
1175,KT18,6
1176,KT19,9
1177,KT2,9
1178,KT20,4
1179,KT21,3
1180,KT22,7
1181,KT23,3
1182,KT24,2
1183,KT3,7
1184,KT4,4
1185,KT5,2
1186,KT6,10
1187,KT7,2
1188,KT8,4
1189,KT9,7
1190,KW1,4
1191,KW10,2
1192,KW14,7
1193,KW15,4
1194,KW16,1
1195,KW17,1
1196,KW6,1
1197,KW8,1
1198,KW9,1
1199,KY1,8
1200,KY10,2
1201,KY11,21
1202,KY12,14
1203,KY13,2
1204,KY14,2
1205,KY15,6
1206,KY16,7
1207,KY2,7
1208,KY3,3
1209,KY4,9
1210,KY5,6
1211,KY6,4
1212,KY7,18
1213,KY8,10
1214,L1,11
1215,L10,6
1216,L11,7
1217,L12,5
1218,L13,12
1219,L14,4
1220,L15,7
1221,L16,3
1222,L17,5
1223,L18,7
1224,L19,5
1225,L2,5
1226,L20,8
1227,L21,4
1228,L22,3
1229,L23,6
1230,L24,8
1231,L25,9
1232,L26,3
1233,L3,11
1234,L30,4
1235,L31,7
1236,L32,5
1237,L33,3
1238,L34,4
1239,L35,7
1240,L36,8
1241,L37,9
1242,L38,1
1243,L39,10
1244,L4,7
1245,L40,6
1246,L5,5
1247,L6,1
1248,L7,10
1249,L8,3
1250,L9,7
1251,LA1,21
1252,LA10,1
1253,LA11,3
1254,LA12,9
1255,LA13,4
1256,LA14,13
1257,LA15,1
1258,LA16,1
1259,LA18,2
1260,LA2,5
1261,LA21,2
1262,LA22,6
1263,LA23,6
1264,LA3,6
1265,LA4,8
1266,LA5,9
1267,LA6,5
1268,LA7,3
1269,LA8,1
1270,LA9,12
1271,LD1,4
1272,LD2,2
1273,LD3,9
1274,LD6,2
1275,LD7,1
1276,LD8,1
1277,LE1,11
1278,LE10,14
1279,LE11,17
1280,LE12,13
1281,LE13,10
1282,LE14,1
1283,LE15,9
1284,LE16,11
1285,LE17,6
1286,LE18,16
1287,LE19,8
1288,LE2,24
1289,LE3,25
1290,LE4,22
1291,LE5,8
1292,LE6,3
1293,LE65,6
1294,LE67,21
1295,LE7,8
1296,LE8,11
1297,LE9,17
1298,LL11,11
1299,LL12,9
1300,LL13,14
1301,LL14,9
1302,LL15,4
1303,LL16,4
1304,LL17,1
1305,LL18,22
1306,LL19,9
1307,LL20,5
1308,LL21,1
1309,LL22,4
1310,LL23,2
1311,LL24,1
1312,LL25,1
1313,LL26,2
1314,LL28,3
1315,LL29,6
1316,LL3,1
1317,LL30,8
1318,LL31,5
1319,LL32,1
1320,LL33,1
1321,LL34,2
1322,LL36,2
1323,LL40,4
1324,LL41,3
1325,LL42,3
1326,LL44,1
1327,LL48,1
1328,LL49,5
1329,LL52,1
1330,LL53,7
1331,LL54,2
1332,LL55,10
1333,LL57,11
1334,LL58,3
1335,LL59,1
1336,LL60,1
1337,LL61,2
1338,LL63,1
1339,LL65,10
1340,LL67,1
1341,LL68,2
1342,LL74,3
1343,LL75,1
1344,LL77,7
1345,LN1,8
1346,LN10,3
1347,LN11,14
1348,LN12,7
1349,LN13,4
